text,regex,sounds,example,blend
"a","a","[""AO"",""AA""]","ball","false"
"a","a","[""AH""]","pita","false"
"a","a","[""EH""]","any","false"
"e","e","[""IH"",""AH""]","snoozes","false"
"i","i","[""AH""]","Jupiter","false"
"o","o","[""AH"",""UH""]","love","false"
"o","o","[""UW""]","do","false"
"u","u","[""UW""]","tofu","false"
"y","y","[""IH""]","system","false"
"an","an","[]","wand","true"
"i","i","[""IY"",""Y""]","pita","false"
"ar","ar","[""AO+R""]","war","false"
"ar","ar","[""ER""]","solar","false"
"or","or","[""ER""]","work","false"
"our","our","[""AO+R""]","four","false"
"our","our","[""ER""]","journey","false"
"ear","ear","[""ER""]","heard","false"
"ear","ear","[""EH+R""]","wear","false"
"ea","ea","[""EH""]","bread","false"
"ea","ea","[""EY""]","great","false"
"ie","ie","[""AY""]","tie","false"
"ou","ou","[""UW""]","soup","false"
"ou","ou","[""UH""]","could","false"
"oe","oe","[""AH""]","does","false"
"ey","ey","[""IY""]","monkey","false"
"ch","ch","[""K""]","school","false"
"c","c","[""SH""]","ocean","false"
